num_hyps,proof_effort,frequency,canonical
0,0,5,(n : ℕ) : drop n [] = []
0,0,2,"∀ (k : ℕ), take k [] = []"
0,0,1,(n : ℕ) : take n [] = [] ∧ drop n [] = []
0,0,1,(n : ℕ) : take n [] ++ drop n [] = []
0,0,1,(n : ℕ) (xs : List α) : take n xs ++ drop n xs = xs
0,0,1,(n : ℕ) (xs : List ℕ) (ys : List ℕ) : count n xs + count n ys = count n (xs ++ ys)
0,0,1,(n : ℕ) (xs : List ℕ) (ys : List ℕ) : count n xs ≤ count n (xs ++ ys)
0,0,1,(n : ℕ) (x : ℕ) : n = x → (count n xs).succ = count n (x :: xs)
0,0,1,(n : ℕ) : drop n (drop (m + 1) []) = drop (n + (m + 1)) []
0,0,1,(n : ℕ) (m : ℕ) (xs : List α) : drop n (drop m xs) = drop (n + m) xs
0,0,1,drop n (take m []) = take (m - n) (drop n [])
1,1,5,(n : ℕ) (h1 : take 0 [] = []) : take n [] = []
1,1,4,(n : ℕ) (h1 : drop (n + 1) [] = []) : drop n [] = []
1,1,2,"(k : ℕ) (h1 : drop (k + 1) [] = []) : ∀ (k : ℕ), drop k [] = []"
1,1,2,"(k : ℕ) (h1 : take 0 [] = []) : ∀ (k : ℕ), take k [] = []"
1,1,1,"(ih : ∀ (n : ℕ), take n xs ++ drop n xs = xs) (n : ℕ) : take (n + 1) (x :: xs) ++ drop (n + 1) (x :: xs) = x :: xs"
1,1,1,"(ih : ∀ (n : ℕ), take n xs ++ drop n xs = xs) (n : ℕ) : take n (x :: xs) ++ drop n (x :: xs) = x :: xs"
1,1,1,(n : ℕ) (h1 : drop n [] = []) : take n [] ++ drop n [] = []
1,1,1,(n : ℕ) (h1 : drop 0 [] = []) : take n [] ++ drop n [] = []
1,1,1,(n : ℕ) (h1 : take n [] = []) : take n [] = [] ∧ drop n [] = []
1,1,1,(n : ℕ) (h1 : drop n [] = []) : take n [] = [] ∧ drop n [] = []
1,1,1,(n : ℕ) (h1 : drop (n + 1) [] = []) : take n [] ++ drop n [] = []
1,1,1,(n : ℕ) (h1 : take 0 [] = []) : take n [] = [] ∧ drop n [] = []
1,1,1,(n : ℕ) (xs : List α) (h1 : take n [] ++ drop n [] = []) : take n xs ++ drop n xs = xs
1,1,1,(n : ℕ) (h1 : take n [] = []) : take n [] ++ drop n [] = []
1,1,1,(n : ℕ) (h1 : drop 0 [] = []) : take n [] = [] ∧ drop n [] = []
